area,config,epoch,training_mse,validation_rmse
5161,"{""length"": 12, ""hidden"": 16}",1,0.6801517832410204,906.1430473820152
5161,"{""length"": 12, ""hidden"": 16}",2,0.1755831490069518,486.85908930932146
5161,"{""length"": 12, ""hidden"": 16}",3,0.0938362534447904,355.13948898021476
5161,"{""length"": 12, ""hidden"": 16}",4,0.0581410686966482,258.6993878732838
5161,"{""length"": 12, ""hidden"": 16}",5,0.0440225962194658,221.13761089565944
5161,"{""length"": 12, ""hidden"": 16}",6,0.0394744328608661,205.04396612145675
5161,"{""length"": 12, ""hidden"": 16}",7,0.036625807557678,194.9235482092967
5161,"{""length"": 12, ""hidden"": 16}",8,0.0347026704459181,187.91651542870784
5161,"{""length"": 12, ""hidden"": 16}",9,0.0333432354851738,182.746108791478
5161,"{""length"": 12, ""hidden"": 16}",10,0.0323531961402831,178.7588090297121
5161,"{""length"": 12, ""hidden"": 16}",11,0.0316170842437953,175.60284621761002
5161,"{""length"": 12, ""hidden"": 16}",12,0.0310593916178295,173.07157084598165
5161,"{""length"": 12, ""hidden"": 16}",13,0.0306280754452005,171.02798074132434
5161,"{""length"": 12, ""hidden"": 16}",14,0.0302862342351522,169.3693870333922
5161,"{""length"": 12, ""hidden"": 16}",15,0.0300076209418066,168.01288115676857
5161,"{""length"": 12, ""hidden"": 16}",16,0.0297738681209611,166.89084380132778
5161,"{""length"": 12, ""hidden"": 16}",17,0.0295725287917332,165.95029868762893
5161,"{""length"": 12, ""hidden"": 16}",18,0.0293955157064037,165.15273248003652
5161,"{""length"": 12, ""hidden"": 16}",19,0.0292378747678829,164.4733865811727
5161,"{""length"": 12, ""hidden"": 16}",20,0.029096889231122,163.89959469416692
5161,"{""length"": 12, ""hidden"": 16}",21,0.0289713676909714,163.42692348006608
5161,"{""length"": 12, ""hidden"": 16}",22,0.0288609477831221,163.05182880587333
5161,"{""length"": 12, ""hidden"": 16}",23,0.028765260271264,162.7630537472016
5161,"{""length"": 12, ""hidden"": 16}",24,0.0286831870293005,162.54000030870395
5161,"{""length"": 12, ""hidden"": 16}",25,0.0286128757548801,162.36226574318246
5161,"{""length"": 12, ""hidden"": 16}",26,0.0285525102843786,162.21797483549358
5161,"{""length"": 12, ""hidden"": 16}",27,0.0285007491523584,162.10033830422665
5161,"{""length"": 12, ""hidden"": 16}",28,0.0284564511277354,162.002047967519
5161,"{""length"": 12, ""hidden"": 16}",29,0.0284183304715942,161.91541749639623
5161,"{""length"": 12, ""hidden"": 16}",30,0.0283849602142151,161.8339953404897
5161,"{""length"": 12, ""hidden"": 32}",1,0.540033593304428,588.0270581615704
5161,"{""length"": 12, ""hidden"": 32}",2,0.1112906471877307,343.7077590108097
5161,"{""length"": 12, ""hidden"": 32}",3,0.0504336743687207,229.91543762683375
5161,"{""length"": 12, ""hidden"": 32}",4,0.0424254409218336,214.48297804682767
5161,"{""length"": 12, ""hidden"": 32}",5,0.038189607482035,203.44313204942807
5161,"{""length"": 12, ""hidden"": 32}",6,0.0357126117489495,195.013064642494
5161,"{""length"": 12, ""hidden"": 32}",7,0.0341071577558478,188.5131090611044
5161,"{""length"": 12, ""hidden"": 32}",8,0.0329961314797401,183.4801136523801
5161,"{""length"": 12, ""hidden"": 32}",9,0.0321920521625559,179.54973892085937
5161,"{""length"": 12, ""hidden"": 32}",10,0.0315856843449912,176.43235790613917
5161,"{""length"": 12, ""hidden"": 32}",11,0.0311087946015181,173.9191134688437
5161,"{""length"": 12, ""hidden"": 32}",12,0.0307202546587793,171.88572069510303
5161,"{""length"": 12, ""hidden"": 32}",13,0.0303969657246446,170.26869574504988
5161,"{""length"": 12, ""hidden"": 32}",14,0.0301257521214284,169.02438460278844
5161,"{""length"": 12, ""hidden"": 32}",15,0.0298973740648219,168.09989604901912
5161,"{""length"": 12, ""hidden"": 32}",16,0.029703901508898,167.43061736086472
5161,"{""length"": 12, ""hidden"": 32}",17,0.0295383890647263,166.95305821863462
5161,"{""length"": 12, ""hidden"": 32}",18,0.029394752010976,166.61618807216553
5161,"{""length"": 12, ""hidden"": 32}",19,0.0292675347036712,166.38570450413997
5161,"{""length"": 12, ""hidden"": 32}",20,0.0291522983407035,166.246044012982
5161,"{""length"": 12, ""hidden"": 32}",21,0.0290464457527021,166.2030850660134
5161,"{""length"": 12, ""hidden"": 32}",22,0.0289495218538375,166.28747915120525
5161,"{""length"": 12, ""hidden"": 32}",23,0.0288626915526204,166.56551153981
5161,"{""length"": 12, ""hidden"": 32}",24,0.0287880492393241,167.15667781271017
5161,"{""length"": 12, ""hidden"": 32}",25,0.0287288532309206,168.18864940592775
5161,"{""length"": 12, ""hidden"": 32}",26,0.0286901797553449,169.5590104299152
5161,"{""length"": 144, ""hidden"": 16}",1,0.6796600232879679,931.2286444698806
5161,"{""length"": 144, ""hidden"": 16}",2,0.1826378551644606,480.84019253699466
5161,"{""length"": 144, ""hidden"": 16}",3,0.0840844839039418,319.76999694113664
5161,"{""length"": 144, ""hidden"": 16}",4,0.0545003319623413,249.910899237691
5161,"{""length"": 144, ""hidden"": 16}",5,0.0443388029888227,218.20329832713713
5161,"{""length"": 144, ""hidden"": 16}",6,0.0387389365074647,199.7188946391688
5161,"{""length"": 144, ""hidden"": 16}",7,0.0355397142839055,188.3496641365176
5161,"{""length"": 144, ""hidden"": 16}",8,0.033583479609016,180.91532791360524
5161,"{""length"": 144, ""hidden"": 16}",9,0.0322712766308639,175.75910060728984
5161,"{""length"": 144, ""hidden"": 16}",10,0.0313126352047911,171.99174600680496
5161,"{""length"": 144, ""hidden"": 16}",11,0.030561200667497,169.09270329840174
5161,"{""length"": 144, ""hidden"": 16}",12,0.0299364879458874,166.7511050253084
5161,"{""length"": 144, ""hidden"": 16}",13,0.0293920562622156,164.82896589128194
5161,"{""length"": 144, ""hidden"": 16}",14,0.02890756079653,163.32587103589688
5161,"{""length"": 144, ""hidden"": 16}",15,0.0284899004928029,162.24320981997232
5161,"{""length"": 144, ""hidden"": 16}",16,0.0281473915302404,161.52661952148134
5161,"{""length"": 144, ""hidden"": 16}",17,0.0278792899387242,161.33453483024152
5161,"{""length"": 144, ""hidden"": 16}",18,0.0277132784930972,159.8358812769093
5161,"{""length"": 144, ""hidden"": 16}",19,0.0275883625174785,157.99512300927532
5161,"{""length"": 144, ""hidden"": 16}",20,0.0274945205866216,156.80240025922222
5161,"{""length"": 144, ""hidden"": 16}",21,0.0273846982511224,156.01426057168743
5161,"{""length"": 144, ""hidden"": 16}",22,0.0272673068836599,155.52344123508843
5161,"{""length"": 144, ""hidden"": 16}",23,0.0271650304620688,155.18800619169872
5161,"{""length"": 144, ""hidden"": 16}",24,0.0270761547654911,154.9441893876361
5161,"{""length"": 144, ""hidden"": 16}",25,0.0269960196962854,154.75356161308397
5161,"{""length"": 144, ""hidden"": 16}",26,0.0269201643563605,154.58487678992148
5161,"{""length"": 144, ""hidden"": 16}",27,0.0268450768821098,154.41697507954686
5161,"{""length"": 144, ""hidden"": 16}",28,0.0267677975275942,154.23764414609352
5161,"{""length"": 144, ""hidden"": 16}",29,0.0266853056808894,154.05548850637717
5161,"{""length"": 144, ""hidden"": 16}",30,0.0265945324271514,153.97737360979207
5161,"{""length"": 144, ""hidden"": 32}",1,0.5463029772222221,610.3116920097392
5161,"{""length"": 144, ""hidden"": 32}",2,0.0912810688217481,274.38446244919817
5161,"{""length"": 144, ""hidden"": 32}",3,0.0475113108955525,216.34118586196257
5161,"{""length"": 144, ""hidden"": 32}",4,0.0388846634397725,198.78918268444193
5161,"{""length"": 144, ""hidden"": 32}",5,0.0357958576627993,190.18119378838247
5161,"{""length"": 144, ""hidden"": 32}",6,0.0339489728575935,184.09252997311745
5161,"{""length"": 144, ""hidden"": 32}",7,0.0324481408287947,179.83301943303175
5161,"{""length"": 144, ""hidden"": 32}",8,0.0315745929144211,196.9624497309343
5161,"{""length"": 144, ""hidden"": 32}",9,0.0308461529748128,185.1417882473097
5161,"{""length"": 144, ""hidden"": 32}",10,0.0295714764260091,180.30698110473904
5161,"{""length"": 144, ""hidden"": 32}",11,0.029161885831024,174.6531455566516
5161,"{""length"": 144, ""hidden"": 32}",12,0.0286995955818408,171.6969817183248
5161,"{""length"": 144, ""hidden"": 32}",13,0.0285381821988223,169.36826963825777
5161,"{""length"": 144, ""hidden"": 32}",14,0.0282969594997418,172.91591134853
5161,"{""length"": 144, ""hidden"": 32}",15,0.0280205524769854,166.5119920211176
5161,"{""length"": 144, ""hidden"": 32}",16,0.0280077923313007,170.0103040188391
5161,"{""length"": 144, ""hidden"": 32}",17,0.0276834714218034,164.37488998074247
5161,"{""length"": 144, ""hidden"": 32}",18,0.0277029824060004,165.4942865991046
5161,"{""length"": 144, ""hidden"": 32}",19,0.0274269178666331,161.84852595211768
5161,"{""length"": 144, ""hidden"": 32}",20,0.0273849773570313,160.93184266711503
5161,"{""length"": 144, ""hidden"": 32}",21,0.0271932488816367,159.654383372115
5161,"{""length"": 144, ""hidden"": 32}",22,0.0271080439664177,158.78230119689064
5161,"{""length"": 144, ""hidden"": 32}",23,0.0269675621058087,158.11178889159544
5161,"{""length"": 144, ""hidden"": 32}",24,0.0268729947138208,157.5240334965127
5161,"{""length"": 144, ""hidden"": 32}",25,0.0267652258802731,157.08623669239535
5161,"{""length"": 144, ""hidden"": 32}",26,0.02667642722337,156.69435702949008
5161,"{""length"": 144, ""hidden"": 32}",27,0.0265849983576942,156.4254393058954
5161,"{""length"": 144, ""hidden"": 32}",28,0.0265001824500413,156.2709446436829
5161,"{""length"": 144, ""hidden"": 32}",29,0.0264135489251475,156.25582282153465
5161,"{""length"": 144, ""hidden"": 32}",30,0.0263279882586888,156.42318318877594
5059,"{""length"": 12, ""hidden"": 16}",1,0.6324195300375586,507.1451070280343
5059,"{""length"": 12, ""hidden"": 16}",2,0.1065633976907083,300.44965863411676
5059,"{""length"": 12, ""hidden"": 16}",3,0.072676048007531,238.67394746098768
5059,"{""length"": 12, ""hidden"": 16}",4,0.0578593832723823,196.19200643693316
5059,"{""length"": 12, ""hidden"": 16}",5,0.0511911185014815,174.31891114635894
5059,"{""length"": 12, ""hidden"": 16}",6,0.0489302852747095,165.24263824615028
5059,"{""length"": 12, ""hidden"": 16}",7,0.0477956843054119,160.16181118966148
5059,"{""length"": 12, ""hidden"": 16}",8,0.0470093725951927,156.61996198925638
5059,"{""length"": 12, ""hidden"": 16}",9,0.0464376769141181,153.993256269506
5059,"{""length"": 12, ""hidden"": 16}",10,0.0460108576281057,151.98276435152414
5059,"{""length"": 12, ""hidden"": 16}",11,0.0456818470669971,150.38766994683556
5059,"{""length"": 12, ""hidden"": 16}",12,0.0454183770350484,149.07151227814455
5059,"{""length"": 12, ""hidden"": 16}",13,0.0451986558025791,147.94773328298172
5059,"{""length"": 12, ""hidden"": 16}",14,0.0450084408151579,146.9669576985081
5059,"{""length"": 12, ""hidden"": 16}",15,0.0448387779622942,146.10475291696164
5059,"{""length"": 12, ""hidden"": 16}",16,0.0446841322786205,145.35160877797597
5059,"{""length"": 12, ""hidden"": 16}",17,0.0445410388825468,144.70696952038227
5059,"{""length"": 12, ""hidden"": 16}",18,0.0444075727282644,144.17300861418923
5059,"{""length"": 12, ""hidden"": 16}",19,0.0442828236018126,143.74276026933603
5059,"{""length"": 12, ""hidden"": 16}",20,0.0441656959335227,143.39952557303624
5059,"{""length"": 12, ""hidden"": 16}",21,0.0440542421620953,143.12942069053645
5059,"{""length"": 12, ""hidden"": 16}",22,0.0439461740040844,142.92338057702392
5059,"{""length"": 12, ""hidden"": 16}",23,0.0438396370481877,142.76968648999284
5059,"{""length"": 12, ""hidden"": 16}",24,0.0437337499780532,142.65495329441862
5059,"{""length"": 12, ""hidden"": 16}",25,0.0436285798038755,142.57055698783745
5059,"{""length"": 12, ""hidden"": 16}",26,0.043524661844412,142.513912465716
5059,"{""length"": 12, ""hidden"": 16}",27,0.0434224685183265,142.4843243856275
5059,"{""length"": 12, ""hidden"": 16}",28,0.0433222054630081,142.4786761422706
5059,"{""length"": 12, ""hidden"": 16}",29,0.0432239173914923,142.48963719517846
5059,"{""length"": 12, ""hidden"": 16}",30,0.0431276705921132,142.5085484733132
5059,"{""length"": 12, ""hidden"": 32}",1,0.4846103409653181,374.0262456630499
5059,"{""length"": 12, ""hidden"": 32}",2,0.0919966272027282,244.22441031928096
5059,"{""length"": 12, ""hidden"": 32}",3,0.056508281502204,179.32626206384552
5059,"{""length"": 12, ""hidden"": 32}",4,0.0511398362343782,167.82883001708458
5059,"{""length"": 12, ""hidden"": 32}",5,0.0494972331701835,161.2353463765839
5059,"{""length"": 12, ""hidden"": 32}",6,0.0485497082464205,157.16653753538938
5059,"{""length"": 12, ""hidden"": 32}",7,0.047877639719036,154.2706149193973
5059,"{""length"": 12, ""hidden"": 32}",8,0.0473396252417739,151.9829667793041
5059,"{""length"": 12, ""hidden"": 32}",9,0.0468879888755279,150.10778046586518
5059,"{""length"": 12, ""hidden"": 32}",10,0.0465007509203839,148.55856624247696
